"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"traffic-simulation.nlogox"
"StressTest_Semaforo_Pare"
"09/10/2026 15:38:47:314 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","method","red-spawn","blue-spawn","has-seed","seed","[step]","fluxo-vermelhos","fluxo-azuis","tempo-total-vermelhos","tempo-total-azuis"
"216","red light","3","4","true","1","5000","140","181","1885.535445963007","3042.593750343963"
"218","red light","4","4","true","1","5000","212","211","3288.0000458167237","3727.6504212045215"
"210","red light","35","3","true","1","5000","866","145","43285.4291506","2223.9782970881492"
"219","stop sign","5","4","true","1","5000","263","195","349.89389725278966","554.9289835360439"
"215","stop sign","3","4","true","1","5000","160","203","131.68208604345097","390.5916359776618"
"221","stop sign","6","4","true","1","5000","281","184","376.54548772291616","527.8764834231694"
"222","red light","6","4","true","1","5000","283","184","4789.023770573521","3026.9586479154086"
"220","red light","5","4","true","1","5000","246","197","3971.3630450458086","2926.4332682925838"
"225","stop sign","8","4","true","1","5000","432","197","630.2758853050411","1174.1548011022903"
"224","red light","7","4","true","1","5000","342","183","5703.34723364894","2962.9451005906244"
"226","red light","8","4","true","1","5000","354","202","6738.461236935823","3284.0394882427336"
"198","red light","29","3","true","1","5000","868","149","40729.10035139159","2760.257095140079"
"228","red light","9","4","true","1","5000","440","197","8867.428649269074","2981.9481641995458"
"223","stop sign","7","4","true","1","5000","370","183","509.7573362297832","577.3223705577733"
"229","stop sign","10","4","true","1","5000","472","186","837.0666278741941","973.0518922450158"
"201","stop sign","31","3","true","1","5000","1261","125","5895.308502445494","31394.651502052817"
"227","stop sign","9","4","true","1","5000","437","188","741.6670782690171","811.5866053034847"
"233","stop sign","12","4","true","1","5000","585","222","1197.0803895988342","2523.5607344402615"
"203","stop sign","32","3","true","1","5000","1311","132","6916.680757528142","45864.29260840386"
"232","red light","11","4","true","1","5000","508","228","9867.295281305185","3822.1668340796964"
"237","stop sign","14","4","true","1","5000","631","186","1172.6910119338552","1273.6731673041772"
"231","stop sign","11","4","true","1","5000","537","200","877.2537295154341","1174.4294794354184"
"230","red light","10","4","true","1","5000","475","212","9278.207438690273","3491.3816257488634"
"235","stop sign","13","4","true","1","5000","617","193","1295.2929798707128","1937.0542795787103"
"234","red light","12","4","true","1","5000","611","189","12954.6774969171","3045.864159440063"
"217","stop sign","4","4","true","1","5000","200","209","215.2204392727918","720.8466582614732"
"236","red light","13","4","true","1","5000","589","207","13586.215605009591","3300.814540729791"
"241","stop sign","16","4","true","1","5000","805","180","1935.222941258791","3409.2564981987543"
"239","stop sign","15","4","true","1","5000","739","198","1709.908018822264","2873.753289856059"
"243","stop sign","17","4","true","1","5000","825","194","1996.836592626556","3309.042118517915"
"240","red light","15","4","true","1","5000","681","212","16522.73868831965","3435.599528717684"
"244","red light","17","4","true","1","5000","746","197","21761.300112894976","3242.3859803158407"
"251","stop sign","21","4","true","1","5000","963","213","2815.942181698057","7641.73541820961"
"247","stop sign","19","4","true","1","5000","883","201","2364.0553708914845","5328.785234990486"
"249","stop sign","20","4","true","1","5000","964","186","2968.3489546071673","4760.523008394509"
"255","stop sign","23","4","true","1","5000","1032","203","3590.2685344207207","9686.824489860686"
"246","red light","18","4","true","1","5000","766","191","24789.810946806025","3547.7191860362404"
"253","stop sign","22","4","true","1","5000","959","201","2895.9920966935542","7548.8570998920495"
"250","red light","20","4","true","1","5000","834","193","28632.62477551519","3017.335505635109"
"258","red light","24","4","true","1","5000","842","193","36453.2347122503","3432.1767501840777"
"248","red light","19","4","true","1","5000","807","231","24093.965598218845","3253.1213600080014"
"259","stop sign","25","4","true","1","5000","1077","184","3551.637247636327","14040.412198987558"
"254","red light","22","4","true","1","5000","834","216","33129.114689081616","3552.9971309980124"
"257","stop sign","24","4","true","1","5000","1133","192","4324.380477337806","28326.635636419876"
"256","red light","23","4","true","1","5000","843","193","34731.42608720916","3037.0315332737187"
"238","red light","14","4","true","1","5000","673","208","17592.98782509965","3431.9257852442697"
"242","red light","16","4","true","1","5000","745","203","22379.47830785942","3874.813256190819"
"245","stop sign","18","4","true","1","5000","829","187","1982.8211974344467","2743.925087113464"
